 
ConformanceCheck ASCOM Device Conformance Checker Version 6.5.7831.20978, Build time: 10/06/2021 11:39:22
ConformanceCheck Running on: ASCOM Platform 6.5 SP1 6.5.1.3234
 
ConformanceCheck Driver ProgID: ASCOM.HomeMade.SBIGImagingCamera
 
Error handling 
Error number for "Not Implemented" is: 80040400
Error number for "Invalid Value 1" is: 80040405
Error number for "Value Not Set 1" is: 80040402
Error number for "Value Not Set 2" is: 80040403
Error messages will not be interpreted to infer state.
 
16:41:20.406 Driver Access Checks              OK       
16:41:44.840 StartExposure                     OK       Exception correctly generated for Y start outside binned chip size, Bin 2x2
16:41:44.886 StartExposure                     OK       Exception correctly generated for X size larger than binned chip size, Bin 3x3
16:41:44.932 StartExposure                     OK       Exception correctly generated for Y size larger than binned chip size, Bin 3x3
16:41:44.978 StartExposure                     OK       Exception correctly generated for X start outside binned chip size, Bin 3x3
16:41:45.023 StartExposure                     OK       Exception correctly generated for Y start outside binned chip size, Bin 3x3
 
Post-run Checks 
16:41:45.177 PostRunCheck                      OK       Camera returned to initial cooler temperature
 
Conformance test complete 
 
No errors, warnings or issues found: your driver passes ASCOM validation!! 
